timestamp,datetime_utc,hour_utc,day_of_week,token_mint,action,amount,tx_signature,failed
2026-01-25T11:31:02,2026-01-25 11:31:02,11,Sunday,8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump,SELL,16159.323131,kbX3DFHEs4LaPhVr9jFoxuog9wEbvBoNTeoDd8ZpfN1Q,False
2026-01-15T21:46:10,2026-01-15 21:46:10,21,Thursday,BkSbFrDMkfkoG4NDUwadEGeQgVwoXkR3F3P1MPUnBAGS,SELL,659163.125686188,5uxy1UajJ2iMHvXAYj67aifeb5TJWJPJXNhV4YKXx8ag,False
2026-01-14T23:36:37,2026-01-14 23:36:37,23,Wednesday,2nP9yKQNSGQy851iyawDvBkzkK2R2aqKArQCKc2gpump,SELL,40000,AJkoeaYvx73REHWKfCeWV4f6cQYFCw7GdNog4RVNhuuN,False
2026-01-14T00:09:47,2026-01-14 00:09:47,0,Wednesday,7pskt3A1Zsjhngazam7vHWjWHnfgiRump916Xj7ABAGS,SELL,26893.991673029,Be5CGxMkiJoEnmx7yyLJMXc3PpqqauTGH7HSsNyRnd48,False
2026-01-13T02:40:34,2026-01-13 02:40:34,2,Tuesday,2nP9yKQNSGQy851iyawDvBkzkK2R2aqKArQCKc2gpump,SELL,22013.555451,4XeqeojuSbPo89pV3SrKKGYGRgXAZ3PwsKGsy2FXzEKJ,False
2026-01-12T11:26:37,2026-01-12 11:26:37,11,Monday,SurfwRjQQFV6P7JdhxSptf4CjWU8sb88rUiaLCystar,SELL,25494.23624748,54yBrGB5GNS5af3LzBK2b9XDxrmJEcCqG96KKwRMsJus,False
2025-11-08T14:55:25,2025-11-08 14:55:25,14,Saturday,oreoU2P8bN6jkk3jbaiVxYnG1dCXcYxwhwyK9jSybcp,SELL,0.1552055179,4BLysr2VtvLVWQkCtQGCYxHbjzDKWyCzpTvvQ7LVGWFk,False
2025-11-08T14:55:06,2025-11-08 14:55:06,14,Saturday,METvsvVRapdj9cFLzq4Tr43xK4tAjQfwX76z3n6mWQL,SELL,277.263855,4n1Rh83XsmeowgKY7CfMBYdjxMfDbbnN5z2U24ERASaH,False
2025-09-14T02:48:00,2025-09-14 02:48:00,2,Sunday,7Pnqg1S6MYrL6AP1ZXcToTHfdBbTB77ze6Y33qBBpump,SELL,4168.268226,4Yf4o4DK92UT56892HwaTw8yK4Wo43NSK5AZE6pFoPyo,False
2025-09-13T17:29:17,2025-09-13 17:29:17,17,Saturday,7Pnqg1S6MYrL6AP1ZXcToTHfdBbTB77ze6Y33qBBpump,SELL,2547.594668,63wvHHHoqiNNnvLXvm8DdxqeifSX8CMPg2grphtYZjRo,False
2025-07-31T12:02:09,2025-07-31 12:02:09,12,Thursday,9tqjeRS1swj36Ee5C1iGiwAxjQJNGAVCzaTLwFY8bonk,SELL,242.66794,37aWUEBGKM3nkhUttxQCbYLhzpur25BkuVVr1PRRCLUp,False
